,Date,Total Traffic Volume,Base Interest Rate,Exchange Rate,Gross Domestic Product (GDP),Economic Growth Rate (Real GDP Growth Rate),Export price,Export growth rate,Import price,Import growth rate,Nationwide Consumer Price Index,Regular Unleaded Gasoline,Diesel Fuel for Automobiles,number of car ownership
0,2011-01-01,5466446.0,2.75,1121.5,328096.0,5.4,44465366.0,44.7,41981323.0,13.6,90.448,1814.57,1611.14,18409608.0
1,2011-01-02,5059821.0,2.75,1121.732258064516,328096.0,5.4,44269519.59806193,43.77594270065305,41799132.36907521,13.52163471666316,90.3978064516129,1815.24,1611.79,18398782.0
2,2011-01-03,5631394.0,2.75,1121.9645161290323,328096.0,5.4,44073673.19612387,42.85188540130609,41616941.73815041,13.44326943332631,90.3476129032258,1816.15,1612.85,18387956.0
3,2011-01-04,5584995.0,2.75,1122.1967741935484,328096.0,5.4,43877826.7941858,41.92782810195914,41434751.10722562,13.36490414998947,90.29741935483872,1817.48,1614.02,18377130.0
4,2011-01-05,5742955.0,2.75,1122.4290322580646,328096.0,5.4,43681980.39224774,41.00377080261218,41252560.47630082,13.28653886665262,90.2472258064516,1818.53,1615.0,18366304.0
5,2011-01-06,5711377.0,2.75,1122.6612903225807,328096.0,5.4,43486133.99030967,40.07971350326522,41070369.84537603,13.20817358331578,90.19703225806452,1819.44,1615.81,18355478.0
6,2011-01-07,6289335.0,2.75,1122.8935483870969,328096.0,5.4,43290287.5883716,39.15565620391827,40888179.21445123,13.12980829997893,90.1468387096774,1820.66,1616.9,18344652.0
7,2011-01-08,6171881.0,2.75,1123.125806451613,328096.0,5.4,43094441.18643354,38.23159890457131,40705988.58352644,13.05144301664209,90.09664516129033,1821.42,1617.52,18333826.0
8,2011-01-09,4984525.0,2.75,1123.358064516129,328096.0,5.4,42898594.78449547,37.30754160522436,40523797.95260164,12.97307773330525,90.04645161290323,1821.76,1617.75,18323000.0
9,2011-01-10,5898322.0,2.75,1123.590322580645,328096.0,5.4,42702748.38255741,36.3834843058774,40341607.32167685,12.8947124499684,89.99625806451613,1822.35,1618.36,18312174.0
10,2011-01-11,5678012.0,2.75,1123.8225806451612,328096.0,5.4,42506901.98061934,35.45942700653044,40159416.69075205,12.81634716663156,89.94606451612903,1822.67,1618.7,18301348.0
11,2011-01-12,5597256.0,2.75,1124.0548387096774,328096.0,5.4,42311055.57868128,34.53536970718348,39977226.05982726,12.73798188329471,89.89587096774193,1823.22,1619.1,18290522.0
12,2011-01-13,5905843.0,2.75,1124.2870967741935,328096.0,5.4,42115209.17674321,33.61131240783653,39795035.42890246,12.65961659995787,89.84567741935483,1823.81,1619.62,18279696.0
13,2011-01-14,6270644.0,2.75,1124.5193548387097,328096.0,5.4,41919362.77480514,32.68725510848957,39612844.79797767,12.58125131662102,89.79548387096774,1824.36,1620.19,18268870.0
14,2011-01-15,6215504.0,2.75,1124.7516129032258,328096.0,5.4,41723516.37286708,31.76319780914262,39430654.16705287,12.50288603328418,89.74529032258064,1824.58,1620.32,18258044.0
